num,segment,target_area,name,decision_maker,phone,type_or_board,status,last_contacted,vacancy,notes
1,coaching_tuition,Kuvempunagar,,Centre head/owner,,,not_contacted,,,
2,coaching_tuition,Vijayanagar,,Centre head/owner,,,not_contacted,,,
3,coaching_tuition,Jayalakshmipuram,,Centre head/owner,,,not_contacted,,,
4,coaching_tuition,Saraswathipuram,,Centre head/owner,,,not_contacted,,,
5,coaching_tuition,Gokulam,,Centre head/owner,,,not_contacted,,,
6,coaching_tuition,V V Mohalla,,Centre head/owner,,,not_contacted,,,
7,coaching_tuition,Hebbal,,Centre head/owner,,,not_contacted,,,
8,coaching_tuition,Vidyaranyapuram,,Centre head/owner,,,not_contacted,,,
9,coaching_tuition,Lakshmipuram,,Centre head/owner,,,not_contacted,,,
10,coaching_tuition,Bogadi,,Centre head/owner,,,not_contacted,,,
11,coaching_tuition,Yadavagiri,,Centre head/owner,,,not_contacted,,,
12,coaching_tuition,Nazarbad,,Centre head/owner,,,not_contacted,,,
13,coaching_tuition,Kuvempunagar,,Centre head/owner,,,not_contacted,,,
14,coaching_tuition,Vijayanagar,,Centre head/owner,,,not_contacted,,,
15,coaching_tuition,Gokulam,,Centre head/owner,,,not_contacted,,,
16,coaching_tuition,Hebbal,,Centre head/owner,,,not_contacted,,,
17,coaching_tuition,J P Nagar Mysuru,,Centre head/owner,,,not_contacted,,,
18,coaching_tuition,Bannimantap,,Centre head/owner,,,not_contacted,,,
19,coaching_tuition,Hootagalli,,Centre head/owner,,,not_contacted,,,
20,coaching_tuition,Kuvempunagar,,Centre head/owner,,,not_contacted,,,
21,preschool_daycare,Kuvempunagar,,Principal/owner,,,not_contacted,,,
22,preschool_daycare,Vijayanagar,,Principal/owner,,,not_contacted,,,
23,preschool_daycare,Jayalakshmipuram,,Principal/owner,,,not_contacted,,,
24,preschool_daycare,Saraswathipuram,,Principal/owner,,,not_contacted,,,
25,preschool_daycare,Gokulam,,Principal/owner,,,not_contacted,,,
26,preschool_daycare,Hebbal,,Principal/owner,,,not_contacted,,,
27,preschool_daycare,Vidyaranyapuram,,Principal/owner,,,not_contacted,,,
28,preschool_daycare,Bogadi,,Principal/owner,,,not_contacted,,,
29,preschool_daycare,Yadavagiri,,Principal/owner,,,not_contacted,,,
30,preschool_daycare,V V Mohalla,,Principal/owner,,,not_contacted,,,
31,preschool_daycare,Lakshmipuram,,Principal/owner,,,not_contacted,,,
32,preschool_daycare,J P Nagar Mysuru,,Principal/owner,,,not_contacted,,,
33,preschool_daycare,Hootagalli,,Principal/owner,,,not_contacted,,,
34,preschool_daycare,Nazarbad,,Principal/owner,,,not_contacted,,,
35,preschool_daycare,Bannimantap,,Principal/owner,,,not_contacted,,,
36,k12_private,Kuvempunagar,,Principal/HR/correspondent,,CBSE,not_contacted,,,
37,k12_private,Vijayanagar,,Principal/HR/correspondent,,CBSE,not_contacted,,,
38,k12_private,Jayalakshmipuram,,Principal/HR/correspondent,,ICSE,not_contacted,,,
39,k12_private,Gokulam,,Principal/HR/correspondent,,ICSE,not_contacted,,,
40,k12_private,Saraswathipuram,,Principal/HR/correspondent,,State,not_contacted,,,
41,k12_private,Hebbal,,Principal/HR/correspondent,,CBSE,not_contacted,,,
42,k12_private,Vidyaranyapuram,,Principal/HR/correspondent,,State,not_contacted,,,
43,k12_private,Bogadi,,Principal/HR/correspondent,,CBSE,not_contacted,,,
44,k12_private,Hootagalli,,Principal/HR/correspondent,,CBSE,not_contacted,,,
45,k12_private,Yadavagiri,,Principal/HR/correspondent,,ICSE,not_contacted,,,
46,k12_private,V V Mohalla,,Principal/HR/correspondent,,State,not_contacted,,,
47,k12_private,Nazarbad,,Principal/HR/correspondent,,State,not_contacted,,,
48,k12_private,J P Nagar Mysuru,,Principal/HR/correspondent,,CBSE,not_contacted,,,
49,k12_private,Bannimantap,,Principal/HR/correspondent,,State,not_contacted,,,
50,k12_private,Bogadi,,Principal/HR/correspondent,,ICSE,not_contacted,,,
